nPoint 41 
nLoop  1
OUT_loop 4 
	Side_0 10 0 10 D 0 //nedgePerSide start end D_dirichlet N_neumann value
	Side_1 10 10 20 D 2 //nEdgePerSide start end D_dirichlet N_neumann value
	Side_2 10 20 30 D 0 //nEdgePerSide start end D_dirichlet N_neumann value
	Side_3 10 30 0 D 2 //nEdgePerSide start end D_dirichlet N_neumann value
0.00E+00	0.00E+00	0.00E+00
1.00E-01	0.00E+00	0.00E+00
2.00E-01	0.00E+00	0.00E+00
3.00E-01	0.00E+00	0.00E+00
4.00E-01	0.00E+00	0.00E+00
5.00E-01	0.00E+00	0.00E+00
6.00E-01	0.00E+00	0.00E+00
7.00E-01	0.00E+00	0.00E+00
8.00E-01	0.00E+00	0.00E+00
9.00E-01	0.00E+00	0.00E+00
1.00E+00	0.00E+00	0.00E+00
1.00E+00	1.00E-01	0.00E+00
1.00E+00	2.00E-01	0.00E+00
1.00E+00	3.00E-01	0.00E+00
1.00E+00	4.00E-01	0.00E+00
1.00E+00	5.00E-01	0.00E+00
1.00E+00	6.00E-01	0.00E+00
1.00E+00	7.00E-01	0.00E+00
1.00E+00	8.00E-01	0.00E+00
1.00E+00	9.00E-01	0.00E+00
1.00E+00	1.00E+00	0.00E+00
9.00E-01	1.00E+00	0.00E+00
8.00E-01	1.00E+00	0.00E+00
7.00E-01	1.00E+00	0.00E+00
6.00E-01	1.00E+00	0.00E+00
5.00E-01	1.00E+00	0.00E+00
4.00E-01	1.00E+00	0.00E+00
3.00E-01	1.00E+00	0.00E+00
2.00E-01	1.00E+00	0.00E+00
1.00E-01	1.00E+00	0.00E+00
0.00E+00	1.00E+00	0.00E+00
0.00E+00	9.00E-01	0.00E+00
0.00E+00	8.00E-01	0.00E+00
0.00E+00	7.00E-01	0.00E+00
0.00E+00	6.00E-01	0.00E+00
0.00E+00	5.00E-01	0.00E+00
0.00E+00	4.00E-01	0.00E+00
0.00E+00	3.00E-01	0.00E+00
0.00E+00	2.00E-01	0.00E+00
0.00E+00	1.00E-01	0.00E+00

